recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
34,Condiments,"Tesco Garlic & Herb Passata 500G, £0.90 each",500g passata with garlic & herbs,1,£0.90,500g,passata with garlic & herbs,passata,
43,Condiments,"Geeta's Mango Chutney 320G, £2.30 each",1 tbsp mango chutney,1,£2.30,1 tbsp,mango chutney,mango chutney,
43,Condiments,"Tesco Lighter Than Light Mayonnaise 450Ml, £1.15 each",4 tbsp reduced-fat mayonnaise,1,£1.15,4 tbsp,reduced-fat mayonnaise,mayonnaise,
44,Condiments,"Lea & Perrins Worcestershire Sauce 150Ml, £1.70 each",1 tsp worcestershire sauce,1,£1.70,1 tsp,worcestershire sauce,worcestershire sauce,
45,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",2 tbsp tomato purée,1,£0.60,2 tbsp,tomato purée,tomato purée,
46,Condiments,"Growers Harvest Tomato Passata 500G, £0.45 each",800g passata,2,£0.90,800g,passata,passata,
46,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",2 tbsp sunflower oil,1,£3.50,2 tbsp,sunflower oil,cooking oil,
48,Condiments,"Tesco Ingredients Ginger & Garlic Paste 95G, £1.50 each",2 tbsp garlic & ginger paste,1,£1.50,2 tbsp,garlic & ginger paste,garlic & ginger paste,!
48,Condiments,"Tiptree Mango Chutney 220G, £2.50 each",mango chutney,1,£2.50,,mango chutney,mango chutney,
48,Condiments,"Crisp 'N Dry 100% Rapeseed Oil 1L, £3.25 each",2.5 tbsp rapeseed oil,1,£3.25,2.5 tbsp,rapeseed oil,cooking oil,
49,Condiments,"Tesco Harissa Paste 90G, £2.10 each",1 tsp harissa paste,1,£2.10,1 tsp,harissa paste,harissa paste,
50,Condiments,"Tesco Organic Balsamic Vinegar Of Modena 250Ml, £2.00 each",2 tbsp balsamic vinegar,1,£2.00,2 tbsp,balsamic vinegar,balsamic vinegar,
50,Condiments,"Lea & Perrins Worcestershire Sauce 150Ml, £1.70 each",3 tbsp worcestershire sauce,1,£1.70,3 tbsp,worcestershire sauce,worcestershire sauce,
51,Condiments,"Tesco Classic Green Pesto 190G, £1.25 each",6 tsp pesto,1,£1.25,6 tsp,pesto,green pesto,
52,Condiments,"Pataks Tikka Masala Paste Pots 2X70g, £1.49 each",2 heaped tbsp tikka paste,1,£1.49,2 tbsp,tikka paste,tikka paste,
54,Condiments,"Tesco Harissa Paste 90G, £2.10 each",1.5 tbsp harissa paste,1,£2.10,1.5 tbsp,harissa paste,harissa paste,
55,Condiments,"Tesco Chilli Sauce Mild 500G, £1.20 each",1 tsp chilli sauce,1,£1.20,1 tsp,chilli sauce,chilli sauce,
55,Condiments,"Tesco Red Pesto 190G, £1.25 each",2 tbsp red pesto,1,£1.25,2 tbsp,red pesto,red pesto,
57,Condiments,"Tesco Chipotle Chilli Paste 95G, £1.50 each",2 tsp chipotle paste,1,£1.50,2 tsp,chipotle paste,chipotle paste,
