recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients
80,Canned foods,"Grower's Harvest Chopped Tomatoes 400G, £0.32 each",1600g chopped tomatoes,4,£1.28,1600g,chopped tomatoes
82,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes
84,Canned foods,"Tesco Butter Beans 400G, £0.63 each",400g tin butter beans,1,£0.63,400g tin,butter beans
84,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes
87,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",1 tin chopped tomatoes,1,£1.00,1 tin,chopped tomatoes
88,Canned foods,"Grower's Harvest Chopped Tomatoes 400G, £0.32 each",800g tins chopped tomatoes,2,£0.64,800g tins,chopped tomatoes
88,Canned foods,"Tesco Green Lentils In Water 390G, £0.58 each",400g green lentils in water,2,£1.16,400g,green lentils in water
91,Canned foods,"Napolina Chick Peas 400G, £0.85 each",400g can chickpeas,1,£0.85,400g,chickpeas
94,Canned foods,"Tesco Borlotti Beans In Water 400G, £0.54 each",400g tin borlotti beans,1,£0.54,400g tin,borlotti beans
94,Canned foods,"Tesco Butter Beans 400G, £0.63 each",400g tin butter beans,1,£0.63,400g tin,butter beans
94,Canned foods,"Growers Harvest Red Kidney Beans In Water 400G, £0.33 each",400g tin flageolet beans,1,£0.33,400g tin,flageolet beans
94,Canned foods,"Napolina Peeled Plum Tomatoes 400G, £1.00 each",400g tin plum tomatoes,1,£1.00,400g tin,plum tomatoes
97,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes
97,Canned foods,"Heinz Baked Beans In Tomato Sauce 415G, £1.40 each",heinz canned baked beans in tomato sauce,1,£1.40,,heinz canned baked beans in tomato sauce
100,Canned foods,"Tesco Tuna Chunks In Spring Water 145G, £0.80 each",320g tuna chunks in spring water,3,£2.40,320g,tuna chunks in spring water
100,Canned foods,"Napolina Five Bean Salad 400G, £0.85 each",400g tin mixed bean salad,1,£0.85,400g tin,mixed bean salad
107,Canned foods,"Napolina Chick Peas 400G, £0.85 each",400g tin chickpeas,1,£0.85,400g tin,chickpeas
113,Canned foods,"Napolina Peeled Plum Tomatoes 400G, £1.00 each",400g peeled plum tomatoes,1,£1.00,400g,peeled plum tomatoes
118,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes
