recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,,,
48,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",0.25 tsp crushed chillies,1,£0.90,0.25 tsp,crushed chillies,crushed chillies,,,
48,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1.5 tsp ground cumin,1,£1.15,1.5 tsp,ground cumin,ground cumin,,,
48,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",0.25 tsp ground turmeric,1,£0.90,0.25 tsp,ground turmeric,ground turmeric,,,
49,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tsp ground cumin,1,£1.15,1 tsp,ground cumin,ground cumin,,,
49,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",0.5 tsp smoked paprika,1,£0.90,0.5 tsp,smoked paprika,smoked paprika,,,
56,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",1 tsp crushed chillies,1,£0.90,1 tsp,crushed chillies,crushed chillies,,,
58,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",1 tsp ground coriander,1,£1.15,1 tsp,ground coriander,ground coriander,,,
58,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
58,Herbs and spices,"Tesco Mild Chilli Powder 50G, £0.90 each",1 tsp mild chilli powder,1,£0.90,1 tsp,mild chilli powder,chilli powder,,,
58,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",3 tsp smoked paprika,1,£0.90,3 tsp,smoked paprika,smoked paprika,,,
60,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",0.25 tsp crushed chillies,1,£0.90,0.25 tsp,crushed chillies,crushed chillies,,,
62,Herbs and spices,"Tesco Fajita Seasoning 30G, £0.80 each",30g fajita spice,1,£0.80,30g,fajita spice,fajita spice,,,
65,Herbs and spices,"Tesco Dried Oregano 14G Jar, £0.90 each",0.5 tsp dried oregano,1,£0.90,0.5 tsp,dried oregano,dried oregano,,,
66,Herbs and spices,"Tesco Ground Ginger 38G Jar, £0.90 each",0.25 tsp ground ginger,1,£0.90,0.25 tsp,ground ginger,ground ginger,,,
66,Herbs and spices,"Tesco Mild Curry Powder 80G, £1.30 each",2 tsp mild curry powder,1,£1.30,2 tsp,mild curry powder,curry powder,,,
66,Herbs and spices,"Saxa White Pepper 25G, £0.90 each",0.5 tsp white pepper,1,£0.90,0.5 tsp,white pepper,black pepper,,,
67,Herbs and spices,"Tesco Garam Masala Spice Blend 38G, £0.90 each",2 tsp garam masala,1,£0.90,2 tsp,garam masala,garam masala,,,
67,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tbsp ground cumin,1,£1.15,1 tbsp,ground cumin,ground cumin,,,
67,Herbs and spices,"Tesco Hot Chilli Powder 50G, £0.90 each",0.5 tsp hot chilli powder,1,£0.90,0.5 tsp,hot chilli powder,chilli powder,,,
67,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",1 tsp ground turmeric,1,£0.90,1 tsp,ground turmeric,ground turmeric,,,
70,Herbs and spices,"Tesco Dried Rosemary 27G Jar, £0.90 each",3 tsp dried rosemary,1,£0.90,3 tsp,dried rosemary,dried rosemary,,,
72,Herbs and spices,"Cornish Sea Salt Flakes 150G, £1.40 each",flaky sea salt,1,£1.40,,flaky sea salt,salt,,,
76,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",0.5 tsp ground coriander,1,£1.15,0.5 tsp,ground coriander,ground coriander,,,
76,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",1 tbsp sesame seeds,1,£0.90,1 tbsp,sesame seeds,sesame seeds,,,
77,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",1 tsp ground coriander,1,£1.15,1 tsp,ground coriander,ground coriander,,,
77,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
77,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",1 tsp ground turmeric,1,£0.90,1 tsp,ground turmeric,ground turmeric,,,
78,Herbs and spices,"Cornish Sea Salt Flakes 150G, £1.40 each",flaky sea salt,1,£1.40,,flaky sea salt,salt,,,
79,Herbs and spices,"Colman's Original English Mustard Powder 57G, £2.30 each",1 tbsp english mustard powder,1,£2.30,1 tbsp,english mustard powder,english mustard powder,,,!
80,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",1 heaped tsp crushed chillies,1,£0.90,1 tsp,crushed chillies,crushed chillies,,,
80,Herbs and spices,"Tesco Ground Sweet Cinnamon 40G, £0.90 each",2 tsp ground cinnamon,1,£0.90,2 tsp,ground cinnamon,ground cinnamon,,,
80,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",1 tsp ground coriander,1,£1.15,1 tsp,ground coriander,ground coriander,,,
86,Herbs and spices,"Tesco Cardamon 30G, £0.90 each",2 cardamom pods,1,£0.90,2 pods,cardamom ,cardamom,,,
86,Herbs and spices,"Tesco Medium Curry Powder 80G, £1.30 each",1 tbsp medium curry powder,1,£1.30,1 tbsp,medium curry powder,curry powder,,,
87,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tsp ground cumin,1,£1.15,1 tsp,ground cumin,ground cumin,,,
87,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",1 tsp smoked paprika,1,£0.90,1 tsp,smoked paprika,smoked paprika,,,
90,Herbs and spices,"Yutaka Black Sesame Seeds 100G, £2.10 each",2 tbsp black sesame seeds,1,£2.10,2 tbsp,black sesame seeds,black sesame seeds,,,
91,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",2 tsp ground coriander,1,£1.15,2 tsp,ground coriander,ground coriander,,,
91,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
91,Herbs and spices,"Tesco Ground Turmeric 45G, £0.90 each",2 tsp turmeric,1,£0.90,2 tsp,turmeric,ground turmeric,,,
92,Herbs and spices,"Tesco Cinnamon Sticks 12G, £0.90 each",2 cinnamon sticks,1,£0.90,2 sticks,cinnamon,cinnamon sticks ,,,
97,Herbs and spices,"Tesco Ground Sweet Cinnamon 40G, £0.90 each",1 tbsp ground cinnamon,1,£0.90,1 tbsp,ground cinnamon,ground cinnamon,,,
97,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",1 tbsp smoked paprika,1,£0.90,1 tbsp,smoked paprika,smoked paprika,,,
98,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",2 tsp ground cumin,1,£1.15,2 tsp,ground cumin,ground cumin,,,
98,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",2 tbsp sesame seeds,1,£0.90,2 tbsp,sesame seeds,sesame seeds,,,
99,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",1 tsp smoked paprika,1,£0.90,1 tsp,smoked paprika,smoked paprika,,,
103,Herbs and spices,"Tesco Garlic Salt 90G, £0.90 each",0.5 tsp celery salt,1,£0.90,0.5 tsp,salt,salt,,,
104,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",0.5 tsp crushed chillies,1,£0.90,0.5 tsp,crushed chillies,crushed chillies,,,
108,Herbs and spices,"Tesco Nutmeg 33G, £0.90 each",0.25 tsp nutmeg,1,£0.90,0.25 tsp,nutmeg,nutmeg,,,
110,Herbs and spices,"Tesco Dried Oregano 14G Jar, £0.90 each",0.25 tsp dried oregano,1,£0.90,0.25 tsp,dried oregano,dried oregano,,,
110,Herbs and spices,"Tesco Ground Sweet Cinnamon 40G, £0.90 each",ground cinnamon,1,£0.90,,ground cinnamon,ground cinnamon,,,
110,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tsp ground cumin,1,£1.15,1 tsp,ground cumin,ground cumin,,,
115,Herbs and spices,"Tesco Sesame Seeds 100G, £0.90 each",2 tsp sesame seeds,1,£0.90,2 tsp,sesame seeds,sesame seeds,,,
117,Herbs and spices,"Cornish Sea Salt 225G, £1.80 each",sea salt,1,£1.80,,sea salt,salt,,,
121,Herbs and spices,"Tesco Black Peppercorn Grinder 50G, £2.30 each",10 black peppercorns,1,£2.30,10,black peppercorns,black pepper,,,
121,Herbs and spices,"Tesco Cinnamon Sticks 12G, £0.90 each",0.5 cinnamon stick,1,£0.90,0.5 sticks,cinnamon,cinnamon sticks ,,,
122,Herbs and spices,"Rajah Chilli Powder 400G, £2.00 each",1 tsp chilli powder,1,£2.00,1 tsp,chilli powder,chilli powder,,,
122,Herbs and spices,"Tesco Coriander Seeds 26G, £0.90 each",2 tsp coriander seeds,1,£0.90,2 tsp,coriander seeds,coriander seeds,,,
122,Herbs and spices,"East End Cumin Whole Jeera 100G, £1.15 each",1 tsp cumin seeds,1,£1.15,1 tsp,cumin seeds,cumin seeds,,,
122,Herbs and spices,"Tesco Ground Fenugreek 55G, £0.90 each",1 tsp fenugreek seeds,1,£0.90,1 tsp,fenugreek seeds,fenugreek seeds,,,
122,Herbs and spices,"East End Garam Masala Powder 100G, £1.15 each",1 tsp garam masala,1,£1.15,1 tsp,garam masala,garam masala,,,
122,Herbs and spices,"Tesco Mustard Seeds 60G, £0.90 each",1 tsp mustard seeds,1,£0.90,1 tsp,mustard seeds,mustard seeds,,,
123,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",0.25 tsp crushed chillies,1,£0.90,0.25 tsp,crushed chillies,crushed chillies,,,
124,Herbs and spices,"Tesco Ground Cayenne Pepper 48G, £0.90 each",0.25 tsp cayenne pepper,1,£0.90,0.25 tsp,cayenne pepper,cayenne pepper,,,
124,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",1 tsp ground cumin,1,£1.15,1 tsp,ground cumin,ground cumin,,,
126,Herbs and spices,"Tesco Crushed Chillies 28G, £0.90 each",0.5 tsp crushed chillies,1,£0.90,0.5 tsp,crushed chillies,crushed chillies,,,
126,Herbs and spices,"East End Ground Coriander Powder 100G, £1.15 each",0.5 tsp ground coriander,1,£1.15,0.5 tsp,ground coriander,ground coriander,,,
126,Herbs and spices,"East End Ground Cumin Powder 100G, £1.15 each",0.5 tsp ground cumin,1,£1.15,0.5 tsp,ground cumin,ground cumin,,,
127,Herbs and spices,"Tesco Black Peppercorn Grinder 50G, £2.30 each",6 peppercorns,1,£2.30,6,peppercorns,black pepper,,,
129,Herbs and spices,"Tesco Black Peppercorn Grinder 50G, £2.30 each",freshly ground black pepper,1,£2.30,,freshly ground black pepper,black pepper,,,
129,Herbs and spices,"Tesco Caraway Seeds 40G, £0.90 each",1 tsp caraway seeds,1,£0.90,1 tsp,caraway seeds,caraway seeds,,,
129,Herbs and spices,"Tesco Ground Cayenne Pepper 48G, £0.90 each",1 tsp cayenne pepper,1,£0.90,1 tsp,cayenne pepper,cayenne pepper,,,
129,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",4 tsp sweet smoked paprika,1,£0.90,4 tsp,sweet smoked paprika,smoked paprika,,,
131,Herbs and spices,"Tesco Dried Rosemary 27G Jar, £0.90 each",0.5 tsp dried rosemary,1,£0.90,0.5 tsp,dried rosemary,dried rosemary,,,
131,Herbs and spices,"Tesco Garlic Granules 56G, £0.90 each",0.25 tsp garlic granules,1,£0.90,0.25 tsp,garlic granules,garlic granules,,,
131,Herbs and spices,"Tesco Ground Cayenne Pepper 48G, £0.90 each",cayenne pepper,1,£0.90,,cayenne pepper,cayenne pepper,,,
131,Herbs and spices,"Tesco Smoked Paprika 48G, £0.90 each",0.5 tsp smoked paprika,1,£0.90,0.5 tsp,smoked paprika,smoked paprika,,,
131,Herbs and spices,"Cornish Sea Salt Flakes 150G, £1.40 each",0.25 tsp smoked sea salt flakes,1,£1.40,0.25 tsp,smoked sea salt flakes,salt,,,
