raw_ingredients,simplified_ingredients
tortilla chips,tortilla chip
unsalted cashew nuts,cashew nut
pine nuts,pine nut
raisins,raisin
unsalted peanuts,peanut
blanched almonds,blanched almond
cashews,cashew
peanuts,peanut
dried dates,date
shelled unsalted pistachios, pistachio
sultanas,sultana
roasted salted peanuts,peanut
cooked chestnuts,chestnut
pistachios,pistachio
