raw_ingredients,simplified_ingredients
frozen peas,pea
peas,pea
frozen leaf spinach,spinach
frozen sliced leeks,leak
frozen chopped garlic,garlic
frozen sweet potato chunks,sweet potato
frozen sliced peppers,pepper
frozen butternut squash chunks,butternut squash
frozen vegetable base mix,mixed vegetable
frozen soya beans,soya bean
frozen sweetcorn,sweetcorn
frozen squash,butternut squash
frozen spinach,spinach
frozen cranberries,cranberries
frozen diced onions,onion
oven chips,chip
