Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
119,5,12.95,11.75,1.2,16.44,16.44,0,28.19,1.2,23,2
127,5,17.33,11.03,6.3,16.44,16.44,0,27.47,6.3,23,3
132,5,11.51,10.02,1.49,16.44,16.44,0,26.46,1.49,22,3
133,5,12.8,12.25,0.550000000000001,16.44,16.44,0,28.69,0.550000000000001,24,1
136,5,16.25,14.2,2.05,16.44,16.44,0,30.64,2.05,14,3
139,5,13.9,10.45,3.45,16.44,16.44,0,26.89,3.45,23,3
143,5,18.72,15.15,3.57,16.44,16.44,0,31.59,3.57,22,3
145,5,12.36,11.41,0.949999999999999,16.44,16.44,0,27.85,0.949999999999999,23,1
148,5,9.42,7.92,1.5,16.44,16.44,0,24.36,1.5,23,2
149,5,21.92,17.26,4.66,16.44,16.44,0,33.7,4.66,23,3
3,8,8.85,2.5,6.35,10.21,10.21,0,12.71,6.35,29,3
9,8,7.35,7.35,0,10.21,10.21,0,17.56,0,28,0
10,8,13.58,9.52,4.06,10.21,10.21,0,19.73,4.06,28,3
14,8,8.13,5.68,2.45,10.21,10.21,0,15.89,2.45,28,3
21,8,19.3,12.55,6.75,10.21,10.21,0,22.76,6.75,29,5
29,8,24.58,21.88,2.7,10.21,10.21,0,32.09,2.7,28,2
33,8,13.23,13.23,0,10.21,10.21,0,23.44,0,29,0
36,8,8.3,5.94,2.36,10.21,7.85,2.36,13.79,4.72,15,4
37,8,8.8,7.85,0.95,10.21,10.21,0,18.06,0.95,28,1
39,8,7.81,6.65,1.16,10.21,10.21,0,16.86,1.16,28,2
46,8,24.77,19.77,5,10.21,7.85,2.36,27.62,7.36,15,3
49,8,12.68,11.67,1.01,10.21,7.85,2.36,19.52,3.37,17,2
52,8,10,7.64,2.36,10.21,7.85,2.36,15.49,4.72,14,3
53,8,7.83,6.02,1.81,10.21,10.21,0,16.23,1.81,30,2
54,8,7.17,6.62,0.55,10.21,10.21,0,16.83,0.55,28,1
57,8,9.45,6.94,2.51,10.21,7.85,2.36,14.79,4.87,14,2
58,8,14.43,11.35,3.08,10.21,7.85,2.36,19.2,5.44,17,4
59,8,9.28,7.08,2.2,10.21,7.85,2.36,14.93,4.56,15,3
60,8,17.5,15.85,1.65,10.21,7.85,2.36,23.7,4.01,16,2
62,8,10.02,8.37,1.65,10.21,7.85,2.36,16.22,4.01,16,2
67,8,16.18,12.91,3.27,10.21,7.85,2.36,20.76,5.63,16,3
71,8,13.15,12.87,0.279999999999999,10.21,10.21,0,23.08,0.279999999999999,28,1
74,8,13.49,12.54,0.949999999999999,10.21,7.85,2.36,20.39,3.31,14,1
75,8,12.92,9.65,3.27,10.21,10.21,0,19.86,3.27,30,4
76,8,16.68,13.77,2.91,10.21,7.85,2.36,21.62,5.27,15,4
79,8,26.6,16.9,9.7,10.21,10.21,0,27.11,9.7,28,4
82,8,6.65,5.1,1.55,10.21,10.21,0,15.31,1.55,29,2
87,8,18.99,14.27,4.72,10.21,7.85,2.36,22.12,7.08,16,4
88,8,6.17,6.17,0,10.21,10.21,0,16.38,0,28,0
91,8,15.89,14.82,1.07,10.21,10.21,0,25.03,1.07,28,2
93,8,6.35,4.45,1.9,10.21,10.21,0,14.66,1.9,29,2
94,8,14.73,13.11,1.62,10.21,10.21,0,23.32,1.62,29,3
102,8,21.08,16.37,4.71,10.21,10.21,0,26.58,4.71,29,3
103,8,11.81,9.79,2.02,10.21,10.21,0,20,2.02,28,3
114,8,11.25,4.4,6.85,10.21,10.21,0,14.61,6.85,28,5
119,8,12.95,11.75,1.2,10.21,7.85,2.36,19.6,3.56,15,2
127,8,17.33,11.03,6.3,10.21,10.21,0,21.24,6.3,29,3
