Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
3,59,8.85,2.5,6.35,9.28,9.28,0,11.78,6.35,24,3
93,9,6.35,4.45,1.9,7.35,7.35,0,11.8,1.9,29,2
14,88,8.13,5.68,2.45,6.17,6.17,0,11.85,2.45,27,3
36,61,8.3,5.94,2.36,5.93,5.93,0,11.87,2.36,26,4
59,31,9.28,7.08,2.2,4.82,4.82,0,11.9,2.2,26,3
53,61,7.83,6.02,1.81,5.93,5.93,0,11.95,1.81,27,2
3,57,8.85,2.5,6.35,9.45,9.45,0,11.95,6.35,26,3
31,14,4.82,3.87,0.95,8.13,8.13,0,12,0.95,23,1
14,69,8.13,5.68,2.45,6.33,6.33,0,12.01,2.45,25,3
52,78,10,7.64,2.36,4.4,4.4,0,12.04,2.36,27,3
82,131,6.65,5.1,1.55,6.95,6.95,0,12.05,1.55,27,2
37,93,8.8,7.85,0.95,6.35,4.25,2.1,12.1,3.05,13,1
36,88,8.3,5.94,2.36,6.17,6.17,0,12.11,2.36,28,4
114,72,11.25,4.4,6.85,7.72,7.72,0,12.12,6.85,26,5
14,56,8.13,5.68,2.45,6.44,6.44,0,12.12,2.45,23,3
39,3,7.81,6.65,1.16,8.85,5.5,3.35,12.15,4.51,13,2
93,72,6.35,4.45,1.9,7.72,7.72,0,12.17,1.9,27,2
9,31,7.35,7.35,0,4.82,4.82,0,12.17,0,26,0
31,36,4.82,3.87,0.95,8.3,8.3,0,12.17,0.95,22,1
53,88,7.83,6.02,1.81,6.17,6.17,0,12.19,1.81,29,2
114,39,11.25,4.4,6.85,7.81,7.81,0,12.21,6.85,24,5
114,53,11.25,4.4,6.85,7.83,7.83,0,12.23,6.85,26,5
37,78,8.8,7.85,0.95,4.4,4.4,0,12.25,0.95,27,1
93,39,6.35,4.45,1.9,7.81,7.81,0,12.26,1.9,25,2
82,54,6.65,5.1,1.55,7.17,7.17,0,12.27,1.55,27,2
