scnd_rec_reduced_log1,scnd_rec_reduced_log2,scnd_rec_reduced_log3,scnd_rec_reduced_log4,scnd_rec_reduced_log5
3,3,parsley,mozzarella,",,",cheese,garlic,butter
8,3,coriander,cucumber,spinach,lime,dairy-free yogurt,",,",garlic,avocado
9,3,egg,spring onion,pepper,",,",
10,3,cabbage,milk,",,",broccoli,lemon,cheese
14,3,parmesan,leek,watercress,",,",pasta,garlic,lemon
21,3,aubergines,dairy-free yogurt,pomegranate seeds,cauliflower,",,",onion,lemon,tomato,garlic
29,3,spring onion,carrot,pak choi,chilli,",,",mushroom,garlic
33,3,courgette,mozzarella,lettuce,",,",
36,3,thyme,cucumber,feta cheese,puff pastry,",,",onion,garlic,lemon,tomato
37,3,thyme,",,",garlic
39,3,parsley,aubergines,",,",onion,garlic
46,3,chilli,coriander,dairy-free yogurt,ginger,",,",onion,garlic
49,3,egg,coriander,baby spinach,pepper,",,",onion,avocado
52,3,yogurt,coriander,",,",onion,garlic,lemon
53,3,basil,pepper,mixed leaf salad,mozzarella,",,",onion,garlic
54,3,yogurt,mint,cabbage,",,",lemon
57,3,coriander,",,",onion,cheese
58,3,potato,coriander,chilli,pepper,lime,",,",tomato,onion,onion,garlic
59,3,coriander,lettuce,feta cheese,pepper,",,",tomato,onion,lemon
60,3,egg,spring onion,lime,cabbage,",,",garlic
62,3,coriander,chilli,lime,pepper,",,",onion,tomato
67,3,paneer,baby spinach,celeriac,coriander,lime,",,",garlic,butter,onion
71,3,mint,ricotta,",,",pasta
74,3,egg,ginger,chilli,spring onion,coriander,",,",garlic
75,3,parsley,cabbage,soft cheese,filo pastry,",,",broccoli,mushroom,onion,garlic
76,3,coriander,red pepper houmous,",,",lemon,onion,tomato,garlic
79,3,milk,cauliflower,",,",cheese,butter,lemon,broccoli
82,3,parsley,cabbage,",,",garlic,lemon
87,3,oregano,coriander,curly kale,lime,spring onion,root vegetables,",,",onion,tomato,garlic,cheese
88,3,cauliflower,potato,",,",
91,3,pepper,cauliflower,coriander,",,",onion,garlic
93,3,leek,chilli,parsnips,parmesan,thyme,",,",pasta,garlic
94,3,celery,oregano,rosemary,leek,carrot,",,",garlic,onion,lemon
102,3,leek,thyme,milk,cauliflower,egg,puff pastry,",,",onion,cheese,butter
103,3,single cream,potato,tarragon,milk,",,",broccoli,onion,garlic
114,3,gnocchi,parsley,",,",lemon,onion,mushroom,garlic,butter
119,3,pepper,spinach,",,",onion
127,3,thyme,fennel,carrot,celeriac,parsley,celery,bay leaf,",,",onion,garlic,mushroom
132,3,basil,feta cheese,",,",onion,garlic,pasta
133,3,cauliflower,rocket,feta cheese,",,",lemon
136,3,chilli,lime,parsley,feta cheese,rocket,egg,single cream,",,",garlic,onion,avocado
139,3,pepper,spinach,basil,",,",onion,pasta,garlic
143,3,dairy-free spread,oat milk alternative,potato,oyster mushroom,",,",broccoli,garlic,onion
145,3,puff pastry,fresh greens,parsley,baby potato,leek,",,",garlic
148,3,carrot,potato,beetroot,parsley,",,",garlic,lemon
149,3,dairy-free spread,bay leaf,carrot,cauliflower,celery,green bean,parsley,",,",onion,garlic,mushroom
3,5,parsley,mozzarella,",,",cheese,garlic,butter
8,5,coriander,cucumber,spinach,lime,dairy-free yogurt,",,",garlic,avocado
9,5,egg,spring onion,pepper,",,",
10,5,cabbage,milk,",,",broccoli,lemon,cheese
14,5,parmesan,leek,watercress,",,",pasta,garlic,lemon
21,5,aubergines,dairy-free yogurt,pomegranate seeds,cauliflower,",,",onion,lemon,tomato,garlic
29,5,spring onion,carrot,pak choi,chilli,",,",mushroom,garlic
33,5,courgette,mozzarella,lettuce,",,",
36,5,thyme,cucumber,feta cheese,puff pastry,",,",onion,garlic,lemon,tomato
37,5,thyme,",,",garlic
39,5,parsley,aubergines,",,",onion,garlic
46,5,chilli,coriander,dairy-free yogurt,ginger,",,",onion,garlic
49,5,egg,coriander,baby spinach,pepper,",,",onion,avocado
52,5,yogurt,coriander,",,",onion,garlic,lemon
53,5,basil,pepper,mixed leaf salad,mozzarella,",,",onion,garlic
54,5,yogurt,mint,cabbage,",,",lemon
57,5,coriander,",,",onion,cheese
58,5,potato,coriander,chilli,pepper,lime,",,",tomato,onion,onion,garlic
59,5,coriander,lettuce,feta cheese,pepper,",,",tomato,onion,lemon
60,5,egg,spring onion,lime,cabbage,",,",garlic
62,5,coriander,chilli,lime,pepper,",,",onion,tomato
67,5,paneer,baby spinach,celeriac,coriander,lime,",,",garlic,butter,onion
71,5,mint,ricotta,",,",pasta
74,5,egg,ginger,chilli,spring onion,coriander,",,",garlic
75,5,parsley,cabbage,soft cheese,filo pastry,",,",broccoli,mushroom,onion,garlic
76,5,coriander,red pepper houmous,",,",lemon,onion,tomato,garlic
79,5,milk,cauliflower,",,",cheese,butter,lemon,broccoli
82,5,parsley,cabbage,",,",garlic,lemon
87,5,oregano,coriander,curly kale,lime,spring onion,root vegetables,",,",onion,tomato,garlic,cheese
88,5,cauliflower,potato,",,",
91,5,pepper,cauliflower,coriander,",,",onion,garlic
93,5,leek,chilli,parsnips,parmesan,thyme,",,",pasta,garlic
94,5,celery,oregano,rosemary,leek,carrot,",,",garlic,onion,lemon
102,5,leek,thyme,milk,cauliflower,egg,puff pastry,",,",onion,cheese,butter
103,5,single cream,potato,tarragon,milk,",,",broccoli,onion,garlic
114,5,gnocchi,parsley,",,",lemon,onion,mushroom,garlic,butter
119,5,pepper,spinach,",,",onion
127,5,thyme,fennel,carrot,celeriac,parsley,celery,bay leaf,",,",onion,garlic,mushroom
132,5,basil,feta cheese,",,",onion,garlic,pasta
133,5,cauliflower,rocket,feta cheese,",,",lemon
136,5,chilli,lime,parsley,feta cheese,rocket,egg,single cream,",,",garlic,onion,avocado
139,5,pepper,spinach,basil,",,",onion,pasta,garlic
143,5,dairy-free spread,oat milk alternative,potato,oyster mushroom,",,",broccoli,garlic,onion
145,5,puff pastry,fresh greens,parsley,baby potato,leek,",,",garlic
148,5,carrot,potato,beetroot,parsley,",,",garlic,lemon
149,5,dairy-free spread,bay leaf,carrot,cauliflower,celery,green bean,parsley,",,",onion,garlic,mushroom
3,8,parsley,mozzarella,",,",cheese,garlic,butter
8,8,coriander,cucumber,spinach,lime,dairy-free yogurt,",,",garlic,avocado
9,8,egg,spring onion,pepper,",,",
10,8,cabbage,milk,",,",broccoli,lemon,cheese
14,8,parmesan,leek,watercress,",,",pasta,garlic,lemon
21,8,aubergines,dairy-free yogurt,pomegranate seeds,cauliflower,",,",onion,lemon,tomato,garlic
29,8,spring onion,carrot,pak choi,chilli,",,",mushroom,garlic
33,8,courgette,mozzarella,lettuce,",,",
36,8,thyme,cucumber,feta cheese,puff pastry,",,",onion,garlic,lemon,tomato
37,8,thyme,",,",garlic
39,8,parsley,aubergines,",,",onion,garlic
46,8,chilli,coriander,dairy-free yogurt,ginger,",,",onion,garlic
49,8,egg,coriander,baby spinach,pepper,",,",onion,avocado
52,8,yogurt,coriander,",,",onion,garlic,lemon
53,8,basil,pepper,mixed leaf salad,mozzarella,",,",onion,garlic
54,8,yogurt,mint,cabbage,",,",lemon
57,8,coriander,",,",onion,cheese
58,8,potato,coriander,chilli,pepper,lime,",,",tomato,onion,onion,garlic
59,8,coriander,lettuce,feta cheese,pepper,",,",tomato,onion,lemon
60,8,egg,spring onion,lime,cabbage,",,",garlic
62,8,coriander,chilli,lime,pepper,",,",onion,tomato
67,8,paneer,baby spinach,celeriac,coriander,lime,",,",garlic,butter,onion
71,8,mint,ricotta,",,",pasta
74,8,egg,ginger,chilli,spring onion,coriander,",,",garlic
75,8,parsley,cabbage,soft cheese,filo pastry,",,",broccoli,mushroom,onion,garlic
76,8,coriander,red pepper houmous,",,",lemon,onion,tomato,garlic
79,8,milk,cauliflower,",,",cheese,butter,lemon,broccoli
82,8,parsley,cabbage,",,",garlic,lemon
87,8,oregano,coriander,curly kale,lime,spring onion,root vegetables,",,",onion,tomato,garlic,cheese
88,8,cauliflower,potato,",,",
91,8,pepper,cauliflower,coriander,",,",onion,garlic
93,8,leek,chilli,parsnips,parmesan,thyme,",,",pasta,garlic
94,8,celery,oregano,rosemary,leek,carrot,",,",garlic,onion,lemon
102,8,leek,thyme,milk,cauliflower,egg,puff pastry,",,",onion,cheese,butter
103,8,single cream,potato,tarragon,milk,",,",broccoli,onion,garlic
114,8,gnocchi,parsley,",,",lemon,onion,mushroom,garlic,butter
119,8,pepper,spinach,",,",onion
127,8,thyme,fennel,carrot,celeriac,parsley,celery,bay leaf,",,",onion,garlic,mushroom
132,8,basil,feta cheese,",,",onion,garlic,pasta
133,8,cauliflower,rocket,feta cheese,",,",lemon
136,8,chilli,lime,parsley,feta cheese,rocket,egg,single cream,",,",garlic,onion,avocado
139,8,pepper,spinach,basil,",,",onion,pasta,garlic
143,8,dairy-free spread,oat milk alternative,potato,oyster mushroom,",,",broccoli,garlic,onion
145,8,puff pastry,fresh greens,parsley,baby potato,leek,",,",garlic
148,8,carrot,potato,beetroot,parsley,",,",garlic,lemon
149,8,dairy-free spread,bay leaf,carrot,cauliflower,celery,green bean,parsley,",,",onion,garlic,mushroom
3,9,parsley,mozzarella,",,",cheese,garlic,butter
8,9,coriander,cucumber,spinach,lime,dairy-free yogurt,",,",garlic,avocado
9,9,egg,spring onion,pepper,",,",
10,9,cabbage,milk,",,",broccoli,lemon,cheese
14,9,parmesan,leek,watercress,",,",pasta,garlic,lemon
21,9,aubergines,dairy-free yogurt,pomegranate seeds,cauliflower,",,",onion,lemon,tomato,garlic
29,9,spring onion,carrot,pak choi,chilli,",,",mushroom,garlic
33,9,courgette,mozzarella,lettuce,",,",
36,9,thyme,cucumber,feta cheese,puff pastry,",,",onion,garlic,lemon,tomato
37,9,thyme,",,",garlic
39,9,parsley,aubergines,",,",onion,garlic
46,9,chilli,coriander,dairy-free yogurt,ginger,",,",onion,garlic
49,9,egg,coriander,baby spinach,pepper,",,",onion,avocado
52,9,yogurt,coriander,",,",onion,garlic,lemon
53,9,basil,pepper,mixed leaf salad,mozzarella,",,",onion,garlic
54,9,yogurt,mint,cabbage,",,",lemon
57,9,coriander,",,",onion,cheese
58,9,potato,coriander,chilli,pepper,lime,",,",tomato,onion,onion,garlic
59,9,coriander,lettuce,feta cheese,pepper,",,",tomato,onion,lemon
60,9,egg,spring onion,lime,cabbage,",,",garlic
62,9,coriander,chilli,lime,pepper,",,",onion,tomato
67,9,paneer,baby spinach,celeriac,coriander,lime,",,",garlic,butter,onion
71,9,mint,ricotta,",,",pasta
74,9,egg,ginger,chilli,spring onion,coriander,",,",garlic
75,9,parsley,cabbage,soft cheese,filo pastry,",,",broccoli,mushroom,onion,garlic
76,9,coriander,red pepper houmous,",,",lemon,onion,tomato,garlic
79,9,milk,cauliflower,",,",cheese,butter,lemon,broccoli
82,9,parsley,cabbage,",,",garlic,lemon
87,9,oregano,coriander,curly kale,lime,spring onion,root vegetables,",,",onion,tomato,garlic,cheese
88,9,cauliflower,potato,",,",
91,9,pepper,cauliflower,coriander,",,",onion,garlic
93,9,leek,chilli,parsnips,parmesan,thyme,",,",pasta,garlic
94,9,celery,oregano,rosemary,leek,carrot,",,",garlic,onion,lemon
102,9,leek,thyme,milk,cauliflower,egg,puff pastry,",,",onion,cheese,butter
103,9,single cream,potato,tarragon,milk,",,",broccoli,onion,garlic
114,9,gnocchi,parsley,",,",lemon,onion,mushroom,garlic,butter
119,9,pepper,spinach,",,",onion
127,9,thyme,fennel,carrot,celeriac,parsley,celery,bay leaf,",,",onion,garlic,mushroom
132,9,basil,feta cheese,",,",onion,garlic,pasta
133,9,cauliflower,rocket,feta cheese,",,",lemon
136,9,chilli,lime,parsley,feta cheese,rocket,egg,single cream,",,",garlic,onion,avocado
139,9,pepper,spinach,basil,",,",onion,pasta,garlic
143,9,dairy-free spread,oat milk alternative,potato,oyster mushroom,",,",broccoli,garlic,onion
145,9,puff pastry,fresh greens,parsley,baby potato,leek,",,",garlic
148,9,carrot,potato,beetroot,parsley,",,",garlic,lemon
149,9,dairy-free spread,bay leaf,carrot,cauliflower,celery,green bean,parsley,",,",onion,garlic,mushroom
3,10,parsley,mozzarella,",,",cheese,garlic,butter
8,10,coriander,cucumber,spinach,lime,dairy-free yogurt,",,",garlic,avocado
9,10,egg,spring onion,pepper,",,",
10,10,cabbage,milk,",,",broccoli,lemon,cheese
14,10,parmesan,leek,watercress,",,",pasta,garlic,lemon
21,10,aubergines,dairy-free yogurt,pomegranate seeds,cauliflower,",,",onion,lemon,tomato,garlic
29,10,spring onion,carrot,pak choi,chilli,",,",mushroom,garlic
33,10,courgette,mozzarella,lettuce,",,",
36,10,thyme,cucumber,feta cheese,puff pastry,",,",onion,garlic,lemon,tomato
37,10,thyme,",,",garlic
39,10,parsley,aubergines,",,",onion,garlic
46,10,chilli,coriander,dairy-free yogurt,ginger,",,",onion,garlic
49,10,egg,coriander,baby spinach,pepper,",,",onion,avocado
52,10,yogurt,coriander,",,",onion,garlic,lemon
53,10,basil,pepper,mixed leaf salad,mozzarella,",,",onion,garlic
54,10,yogurt,mint,cabbage,",,",lemon
57,10,coriander,",,",onion,cheese
58,10,potato,coriander,chilli,pepper,lime,",,",tomato,onion,onion,garlic
59,10,coriander,lettuce,feta cheese,pepper,",,",tomato,onion,lemon
60,10,egg,spring onion,lime,cabbage,",,",garlic
62,10,coriander,chilli,lime,pepper,",,",onion,tomato
67,10,paneer,baby spinach,celeriac,coriander,lime,",,",garlic,butter,onion
71,10,mint,ricotta,",,",pasta
74,10,egg,ginger,chilli,spring onion,coriander,",,",garlic
75,10,parsley,cabbage,soft cheese,filo pastry,",,",broccoli,mushroom,onion,garlic
76,10,coriander,red pepper houmous,",,",lemon,onion,tomato,garlic
79,10,milk,cauliflower,",,",cheese,butter,lemon,broccoli
82,10,parsley,cabbage,",,",garlic,lemon
87,10,oregano,coriander,curly kale,lime,spring onion,root vegetables,",,",onion,tomato,garlic,cheese
88,10,cauliflower,potato,",,",
91,10,pepper,cauliflower,coriander,",,",onion,garlic
93,10,leek,chilli,parsnips,parmesan,thyme,",,",pasta,garlic
94,10,celery,oregano,rosemary,leek,carrot,",,",garlic,onion,lemon
102,10,leek,thyme,milk,cauliflower,egg,puff pastry,",,",onion,cheese,butter
